ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
299,ALUNO-299,2020,Estácio,1,4,8,A,Não se Aplica,8.388,Ametista,5.833,10.0,5.625,9.2,0.0,0.0,10.0,,
300,ALUNO-300,2020,UNISA,1,1,8,A,Não se Aplica,6.777,Ágata,9.167,0.0,7.5,8.4,0.0,0.0,10.0,,
301,ALUNO-301,2020,Escola Pública,0,1,1,J,Não,8.848,Topázio,10.0,9.2,7.5,9.5,7.917,7.833,10.0,,
305,ALUNO-305,2020,Rede Decisão/União,1,2,2,J,Não,7.361,Ametista,8.5,8.3,7.5,6.5,6.458,8.278,5.0,,
306,ALUNO-306,2020,Escola Pública,0,1,7,B,Não,3.891,Quartzo,6.667,1.4,4.375,0.0,5.156,4.958,10.0,,
309,ALUNO-309,2020,Escola Pública,0,1,1,G,Não,8.2,Ametista,8.5,6.5,7.5,10.0,7.5,7.75,10.0,,
312,ALUNO-312,2020,Escola Pública,0,1,2,J,Não,8.509,Topázio,10.0,9.1,7.5,8.5,5.833,8.278,10.0,,
313,ALUNO-313,2020,Escola Pública,0,0,0,F,Não,7.9,Ametista,7.5,10.0,7.5,6.5,7.5,6.75,10.0,,
315,ALUNO-315,2020,Escola Pública,0,1,4,A,Sim,9.461,Topázio,9.167,10.0,9.375,8.667,8.958,9.889,10.0,,
316,ALUNO-316,2020,Escola Pública,0,0,2,M,Não,6.428,Ágata,7.417,7.7,7.5,0.0,8.125,7.917,10.0,,
318,ALUNO-318,2020,Escola Pública,0,0,0,B,Não,8.3,Ametista,9.0,10.0,7.5,10.0,7.5,7.0,5.0,,
319,ALUNO-319,2020,Escola Pública,0,1,2,B,Não,7.183,Ágata,9.0,9.5,7.5,2.0,7.5,7.417,10.0,,
321,ALUNO-321,2020,Escola Pública,0,1,6,A,Não,4.916,Quartzo,4.583,2.0,7.5,2.0,6.406,6.333,10.0,,
323,ALUNO-323,2020,Rede Decisão/União,1,4,1,B,Não,6.053,Quartzo,8.0,9.1,5.0,4.5,2.5,6.417,5.0,,
324,ALUNO-324,2020,Escola Pública,0,1,6,A,Não,8.064,Ametista,8.75,7.9,7.5,6.667,8.594,8.333,10.0,,
328,ALUNO-328,2020,Escola Pública,0,0,3,M,Não,6.859,Ágata,7.5,4.1,7.5,9.0,7.969,7.208,5.0,,
329,ALUNO-329,2020,Rede Decisão/União,1,3,7,B,Não,7.984,Ametista,7.917,8.6,7.5,7.0,7.969,7.625,10.0,,
330,ALUNO-330,2020,Escola Pública,0,3,1,F,Não,7.68,Ametista,8.0,7.9,7.5,8.5,7.5,8.0,5.0,,
332,ALUNO-332,2020,Escola Pública,0,1,1,H,Não,8.258,Ametista,9.5,9.2,7.5,10.0,7.292,7.444,5.0,,
335,ALUNO-335,2020,Escola Pública,0,0,0,B,Não,7.471,Ametista,8.5,10.0,4.375,9.5,2.5,5.167,10.0,,
337,ALUNO-337,2020,Rede Decisão/União,1,4,5,B,Sim,8.952,Topázio,8.333,9.9,10.0,7.0,9.167,9.111,10.0,,
338,ALUNO-338,2020,Escola Pública,0,2,7,A,Não,5.913,Quartzo,8.333,2.1,7.5,4.333,7.344,6.542,10.0,,
339,ALUNO-339,2020,Escola Pública,0,2,3,C,Não,8.137,Ametista,9.167,9.7,7.5,7.333,8.75,8.444,5.0,,
340,ALUNO-340,2020,Escola Pública,0,2,3,C,Não,7.595,Ametista,8.333,9.4,7.5,7.0,8.542,6.889,5.0,,
341,ALUNO-341,2020,FIAP,1,2,8,A,Não se Aplica,9.097,Topázio,9.167,10.0,7.5,9.2,0.0,0.0,10.0,,
