NOME,INSTITUICAO_ENSINO_ALUNO_2021,FASE_2021,TURMA_2021,PONTO_VIRADA_2021,SINALIZADOR_INGRESSANTE_2021,INDE_2021,PEDRA_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,IPV_2021,IAN_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-803,Escola Pública,0,K,Não,Veterano,7.133,Ametista,8.5,6.7,7.5,6.6,8.8,7.5,5.0,Mantido na Fase atual,Não avaliado,Não avaliado,Não avaliado,Nível 1 (4o ano),-1
ALUNO-805,Escola Pública,1,J,Não,Ingressante,6.993,Ametista,8.5,5.8,7.5,5.1,8.1,6.9,10.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 1 (4o ano),0
ALUNO-807,Escola Pública,1,E,Sim,Veterano,9.176,Topázio,10.0,10.0,5.0,9.1,9.0,9.8,10.0,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0
ALUNO-809,Escola Pública,1,G,Não,Ingressante,4.769,Quartzo,10.0,2.5,7.5,0.0,7.2,6.5,5.0,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-811,Rede Decisão,2,B,Não,Veterano,7.196,Ametista,8.0,8.3,7.5,6.3,7.5,7.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-812,Escola Pública,0,Q,Não,Ingressante,8.075,Ametista,10.0,10.0,7.5,7.1,7.5,8.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2
ALUNO-813,Escola Pública,2,F,Não,Veterano,7.275,Ametista,9.0,7.5,7.5,3.9,7.7,7.8,10.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-814,Escola Pública,2,E,Não,Veterano,6.231,Ágata,7.9,5.0,7.5,4.4,7.9,7.6,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-817,Escola Pública,2,C,Sim,Veterano,7.549,Ametista,9.0,7.5,7.5,7.6,7.9,9.2,2.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 5 (1o EM),-3
ALUNO-818,Escola Pública,0,O,Não,Ingressante,6.958,Ametista,8.0,6.7,7.5,4.4,7.5,7.3,10.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
ALUNO-820,Rede Decisão,5,B,Não,Veterano,8.073,Ametista,8.8,6.1,7.5,8.2,8.6,8.7,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 5 (1o EM),0
ALUNO-822,Escola Pública,0,T,Sim,Ingressante,8.758,Topázio,9.5,10.0,7.5,6.6,8.1,9.7,10.0,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
ALUNO-823,Rede Decisão,2,N,Não,Veterano,7.207,Ametista,8.5,7.1,7.5,3.9,7.9,8.1,10.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-824,Escola Pública,1,M,Sim,Veterano,7.76,Ametista,9.0,10.0,7.5,4.9,8.1,9.1,5.0,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-825,Escola JP II,3,M,Não,Veterano,4.286,Quartzo,7.9,2.8,6.3,1.2,6.3,4.8,5.0,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1
ALUNO-826,Escola Pública,2,L,Não,Veterano,4.186,Quartzo,0.0,2.5,7.5,1.0,7.9,7.2,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-827,Escola Pública,0,S,Não,Ingressante,6.733,Ágata,9.0,5.0,7.5,6.0,7.5,8.2,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1
ALUNO-828,Rede Decisão,5,L,Não,Veterano,7.482,Ametista,9.2,7.5,7.5,7.3,8.1,7.7,5.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Nível 6 (2o EM),-1
ALUNO-829,Escola Pública,3,F,Não,Veterano,6.418,Ágata,10.0,3.9,7.5,3.6,7.3,7.2,10.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-830,Rede Decisão,5,B,Não,Veterano,8.506,Topázio,10.0,7.8,7.5,7.9,8.8,8.8,10.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 4 (9o ano),1
ALUNO-831,Escola Pública,1,M,Não,Veterano,7.351,Ametista,9.5,10.0,7.5,3.6,7.7,8.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-2
ALUNO-833,Escola Pública,0,K,Não,Ingressante,5.825,Ágata,8.5,8.3,4.4,4.4,2.5,6.2,5.0,Mantido na Fase atual,Alocado em Fase anterior,Não avaliado,Não avaliado,Nível 1 (4o ano),-1
ALUNO-834,Escola Pública,3,H,Não,Ingressante,5.506,Quartzo,6.7,3.1,6.9,5.8,7.3,5.7,5.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1
ALUNO-835,Escola Pública,2,M,Não,Veterano,4.335,Quartzo,0.0,5.4,5.6,1.6,7.8,5.4,5.0,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-838,Rede Decisão,6,A,Não,Veterano,6.315,Ágata,7.5,7.2,2.5,5.3,7.7,5.2,10.0,Alocado em Fase anterior,Promovido de Fase,Não avaliado,Mantido na Fase atual,Nível 6 (2o EM),0
ALUNO-840,Escola Pública,0,K,Não,Veterano,6.598,Ágata,9.0,8.3,4.4,6.6,5.3,6.2,5.0,Mantido na Fase atual,Alocado em Fase anterior,Não avaliado,Não avaliado,Nível 1 (4o ano),-1
ALUNO-843,Escola Pública,6,C,Não,Ingressante,6.644,Ágata,7.1,7.2,5.6,7.3,6.9,6.5,5.0,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Promovido de Fase,Nível 7 (3o EM),-1
ALUNO-845,Escola Pública,3,A,Não,Ingressante,5.683,Ágata,8.8,4.4,4.4,4.5,6.0,4.9,10.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
